,date,id,return,isign,year,month,day
93,2008-10-31,IBM,-0.20511300000000005,NEG,2008,10,31
94,2008-11-28,IBM,-0.11691900000000002,NEG,2008,11,28
95,2008-12-31,IBM,0.03137299999999999,POS,2008,12,31
96,2009-01-30,IBM,0.088997,POS,2009,1,30
97,2009-02-27,IBM,0.009602,POS,2009,2,27
98,2009-03-31,IBM,0.05280900000000001,POS,2009,3,31
99,2009-04-30,IBM,0.06522899999999998,POS,2009,4,30
100,2009-05-29,IBM,0.035074,POS,2009,5,29
101,2009-06-30,IBM,-0.017501,NEG,2009,6,30
102,2009-07-31,IBM,0.12938099999999997,POS,2009,7,31
103,2009-08-31,IBM,0.005681000000000001,POS,2009,8,31
104,2009-09-30,IBM,0.013215,POS,2009,9,30
105,2009-10-30,IBM,0.008361000000000002,POS,2009,10,30
106,2009-11-30,IBM,0.052152,POS,2009,11,30
107,2009-12-31,IBM,0.03601100000000001,POS,2009,12,31
108,2010-01-29,IBM,-0.06501099999999999,NEG,2010,1,29
109,2010-02-26,IBM,0.04346800000000001,POS,2010,2,26
110,2010-03-31,IBM,0.008572,POS,2010,3,31
111,2010-04-30,IBM,0.005848,POS,2010,4,30
112,2010-05-28,IBM,-0.023952999999999995,NEG,2010,5,28
113,2010-06-30,IBM,-0.014210000000000002,NEG,2010,6,30
114,2010-07-30,IBM,0.039844,POS,2010,7,30
115,2010-08-31,IBM,-0.03598099999999999,NEG,2010,8,31
116,2010-09-30,IBM,0.08941800000000001,POS,2010,9,30
117,2010-10-29,IBM,0.07052300000000002,POS,2010,10,29
118,2010-11-30,IBM,-0.010375999999999998,NEG,2010,11,30
119,2010-12-31,IBM,0.037466,POS,2010,12,31
120,2011-01-31,IBM,0.103843,POS,2011,1,31
121,2011-02-28,IBM,0.003272,POS,2011,2,28
122,2011-03-31,IBM,0.007350999999999998,POS,2011,3,31
123,2011-04-29,IBM,0.046054,POS,2011,4,29
124,2011-05-31,IBM,-0.005276,NEG,2011,5,31
125,2011-06-30,IBM,0.015509,POS,2011,6,30
126,2011-07-29,IBM,0.060041,POS,2011,7,29
127,2011-08-31,IBM,-0.050536,NEG,2011,8,31
128,2011-09-30,IBM,0.017218,POS,2011,9,30
129,2011-10-31,IBM,0.055813,POS,2011,10,31
130,2011-11-30,IBM,0.022315,POS,2011,11,30
131,2011-12-30,IBM,-0.021915,NEG,2011,12,30
132,2012-01-31,IBM,0.047422,POS,2012,1,31
133,2012-02-29,IBM,0.025336999999999995,POS,2012,2,29
134,2012-03-30,IBM,0.060590999999999985,POS,2012,3,30
135,2012-04-30,IBM,-0.007525,NEG,2012,4,30
136,2012-05-31,IBM,-0.06437099999999998,NEG,2012,5,31
137,2012-06-29,IBM,0.013893000000000003,POS,2012,6,29
138,2012-07-31,IBM,0.002045,POS,2012,7,31
139,2012-08-31,IBM,-0.001429,NEG,2012,8,31
140,2012-09-28,IBM,0.06466499999999999,POS,2012,9,28
141,2012-10-31,IBM,-0.06228,NEG,2012,10,31
142,2012-11-30,IBM,-0.018558000000000005,NEG,2012,11,30
143,2012-12-31,IBM,0.007786999999999999,POS,2012,12,31
144,2013-01-31,IBM,0.060140999999999986,POS,2013,1,31
145,2013-02-28,IBM,-0.006845,NEG,2013,2,28
146,2013-03-28,IBM,0.062092,POS,2013,3,28
147,2013-04-30,IBM,-0.05044499999999999,NEG,2013,4,30
148,2013-05-31,IBM,0.031747,POS,2013,5,31
149,2013-06-28,IBM,-0.08128999999999999,NEG,2013,6,28
150,2013-07-31,IBM,0.020563999999999995,POS,2013,7,31
151,2013-08-30,IBM,-0.06060299999999998,NEG,2013,8,30
152,2013-09-30,IBM,0.015965000000000003,POS,2013,9,30
153,2013-10-31,IBM,-0.03223899999999999,NEG,2013,10,31
154,2013-11-29,IBM,0.007924,POS,2013,11,29
155,2013-12-31,IBM,0.043911,POS,2013,12,31
156,2001-01-31,MSFT,0.407781,POS,2001,1,31
157,2001-02-28,MSFT,-0.033777,NEG,2001,2,28
158,2001-03-30,MSFT,-0.07309300000000002,NEG,2001,3,30
159,2001-04-30,MSFT,0.238857,POS,2001,4,30
160,2001-05-31,MSFT,0.021107,POS,2001,5,31
161,2001-06-29,MSFT,0.05521799999999999,POS,2001,6,29
162,2001-07-31,MSFT,-0.093288,NEG,2001,7,31
163,2001-08-31,MSFT,-0.138087,NEG,2001,8,31
164,2001-09-28,MSFT,-0.10306800000000002,NEG,2001,9,28
165,2001-10-31,MSFT,0.136408,POS,2001,10,31
166,2001-11-30,MSFT,0.10421300000000001,POS,2001,11,30
167,2001-12-31,MSFT,0.031771,POS,2001,12,31
168,2002-01-31,MSFT,-0.03834,NEG,2002,1,31
169,2002-02-28,MSFT,-0.08428800000000002,NEG,2002,2,28
170,2002-03-28,MSFT,0.033768,POS,2002,3,28
171,2002-04-30,MSFT,-0.133477,NEG,2002,4,30
172,2002-05-31,MSFT,-0.025832,NEG,2002,5,31
173,2002-06-28,MSFT,0.07444499999999998,POS,2002,6,28
174,2002-07-31,MSFT,-0.122852,NEG,2002,7,31
175,2002-08-30,MSFT,0.022926,POS,2002,8,30
176,2002-09-30,MSFT,-0.108802,NEG,2002,9,30
177,2002-10-31,MSFT,0.22245100000000004,POS,2002,10,31
178,2002-11-29,MSFT,0.078736,POS,2002,11,29
179,2002-12-31,MSFT,-0.103675,NEG,2002,12,31
180,2003-01-31,MSFT,-0.082012,NEG,2003,1,31
181,2003-02-28,MSFT,0.002107,POS,2003,2,28
182,2003-03-31,MSFT,0.021519,POS,2003,3,31
183,2003-04-30,MSFT,0.055762,POS,2003,4,30
184,2003-05-30,MSFT,-0.037167,NEG,2003,5,30
185,2003-06-30,MSFT,0.041852999999999994,POS,2003,6,30
186,2003-07-31,MSFT,0.030031,POS,2003,7,31
187,2003-08-29,MSFT,0.004165000000000001,POS,2003,8,29
188,2003-09-30,MSFT,0.048265,POS,2003,9,30
189,2003-10-31,MSFT,-0.05395699999999999,NEG,2003,10,31
190,2003-11-28,MSFT,-0.01645,NEG,2003,11,28
191,2003-12-31,MSFT,0.064566,POS,2003,12,31
192,2004-01-30,MSFT,0.010230000000000001,POS,2004,1,30
193,2004-02-27,MSFT,-0.04050599999999999,NEG,2004,2,27
194,2004-03-31,MSFT,-0.060309,NEG,2004,3,31
195,2004-04-30,MSFT,0.04813499999999999,POS,2004,4,30
196,2004-05-28,MSFT,0.0038269999999999992,POS,2004,5,28
197,2004-06-30,MSFT,0.08883000000000002,POS,2004,6,30
198,2004-07-30,MSFT,-0.002451,NEG,2004,7,30
199,2004-08-31,MSFT,-0.038961,NEG,2004,8,31
200,2004-09-30,MSFT,0.012821000000000003,POS,2004,9,30
201,2004-10-29,MSFT,0.011573,POS,2004,10,29
202,2004-11-30,MSFT,0.06864499999999998,POS,2004,11,30
203,2004-12-31,MSFT,-0.003357,NEG,2004,12,31
204,2005-01-31,MSFT,-0.016467,NEG,2005,1,31
205,2005-02-28,MSFT,-0.039574,NEG,2005,2,28
206,2005-03-31,MSFT,-0.039348,NEG,2005,3,31
207,2005-04-29,MSFT,0.04675200000000001,POS,2005,4,29
208,2005-05-31,MSFT,0.022925,POS,2005,5,31
209,2005-06-30,MSFT,-0.037209,NEG,2005,6,30
210,2005-07-29,MSFT,0.030998,POS,2005,7,29
211,2005-08-31,MSFT,0.07223699999999998,POS,2005,8,31
212,2005-09-30,MSFT,-0.060263,NEG,2005,9,30
213,2005-10-31,MSFT,-0.0011660000000000002,NEG,2005,10,31
214,2005-11-30,MSFT,0.080156,POS,2005,11,30
215,2005-12-30,MSFT,-0.055275,NEG,2005,12,30
216,2006-01-31,MSFT,0.07648199999999998,POS,2006,1,31
217,2006-02-28,MSFT,-0.04227299999999999,NEG,2006,2,28
218,2006-03-31,MSFT,0.012653,POS,2006,3,31
219,2006-04-28,MSFT,-0.112459,NEG,2006,4,28
220,2006-05-31,MSFT,-0.058385,NEG,2006,5,31
221,2006-06-30,MSFT,0.028698,POS,2006,6,30
222,2006-07-31,MSFT,0.032618,POS,2006,7,31
223,2006-08-31,MSFT,0.07190399999999998,POS,2006,8,31
224,2006-09-29,MSFT,0.064202,POS,2006,9,29
225,2006-10-31,MSFT,0.049726,POS,2006,10,31
226,2006-11-30,MSFT,0.026123,POS,2006,11,30
227,2006-12-29,MSFT,0.01703,POS,2006,12,29
228,2007-01-31,MSFT,0.03349,POS,2007,1,31
229,2007-02-28,MSFT,-0.083927,NEG,2007,2,28
230,2007-03-30,MSFT,-0.010649999999999998,NEG,2007,3,30
231,2007-04-30,MSFT,0.07427300000000002,POS,2007,4,30
232,2007-05-31,MSFT,0.028393,POS,2007,5,31
233,2007-06-29,MSFT,-0.039756,NEG,2007,6,29
234,2007-07-31,MSFT,-0.016288,NEG,2007,7,31
235,2007-08-31,MSFT,-0.005519,NEG,2007,8,31
236,2007-09-28,MSFT,0.025409000000000004,POS,2007,9,28
237,2007-10-31,MSFT,0.24949100000000005,POS,2007,10,31
238,2007-11-30,MSFT,-0.084216,NEG,2007,11,30
239,2007-12-31,MSFT,0.059524,POS,2007,12,31
240,2008-01-31,MSFT,-0.08427,NEG,2008,1,31
241,2008-02-29,MSFT,-0.162273,NEG,2008,2,29
242,2008-03-31,MSFT,0.043386,POS,2008,3,31
243,2008-04-30,MSFT,0.004933,POS,2008,4,30
244,2008-05-30,MSFT,-0.003155999999999999,NEG,2008,5,30
245,2008-06-30,MSFT,-0.028602,NEG,2008,6,30
246,2008-07-31,MSFT,-0.065067,NEG,2008,7,31
247,2008-08-29,MSFT,0.06531900000000002,POS,2008,8,29
248,2008-09-30,MSFT,-0.021985999999999995,NEG,2008,9,30
249,2008-10-31,MSFT,-0.163357,NEG,2008,10,31
250,2008-11-28,MSFT,-0.08867000000000001,NEG,2008,11,28
251,2008-12-31,MSFT,-0.03857599999999999,NEG,2008,12,31
252,2009-01-30,MSFT,-0.12036999999999998,NEG,2009,1,30
253,2009-02-27,MSFT,-0.047953,NEG,2009,2,27
254,2009-03-31,MSFT,0.13746100000000003,POS,2009,3,31
255,2009-04-30,MSFT,0.10288500000000002,POS,2009,4,30
256,2009-05-29,MSFT,0.03751199999999999,POS,2009,5,29
257,2009-06-30,MSFT,0.137865,POS,2009,6,30
258,2009-07-31,MSFT,-0.010517000000000002,NEG,2009,7,31
259,2009-08-31,MSFT,0.053571,POS,2009,8,31
260,2009-09-30,MSFT,0.043408,POS,2009,9,30
261,2009-10-30,MSFT,0.078149,POS,2009,10,30
262,2009-11-30,MSFT,0.06527199999999998,POS,2009,11,30
263,2009-12-31,MSFT,0.036382,POS,2009,12,31
264,2010-01-29,MSFT,-0.075459,NEG,2010,1,29
265,2010-02-26,MSFT,0.022001,POS,2010,2,26
266,2010-03-31,MSFT,0.021538000000000005,POS,2010,3,31
267,2010-04-30,MSFT,0.042595,POS,2010,4,30
268,2010-05-28,MSFT,-0.15081100000000003,NEG,2010,5,28
269,2010-06-30,MSFT,-0.10814,NEG,2010,6,30
270,2010-07-30,MSFT,0.12168600000000002,POS,2010,7,30
271,2010-08-31,MSFT,-0.08581900000000002,NEG,2010,8,31
272,2010-09-30,MSFT,0.043682000000000006,POS,2010,9,30
273,2010-10-29,MSFT,0.088812,POS,2010,10,29
274,2010-11-30,MSFT,-0.046784,NEG,2010,11,30
275,2010-12-31,MSFT,0.10501800000000001,POS,2010,12,31
276,2011-01-31,MSFT,-0.006628,NEG,2011,1,31
277,2011-02-28,MSFT,-0.035528,NEG,2011,2,28
278,2011-03-31,MSFT,-0.044771,NEG,2011,3,31
279,2011-04-29,MSFT,0.020874,POS,2011,4,29
280,2011-05-31,MSFT,-0.028934999999999992,NEG,2011,5,31
281,2011-06-30,MSFT,0.03958400000000001,POS,2011,6,30
282,2011-07-29,MSFT,0.05384599999999999,POS,2011,7,29
283,2011-08-31,MSFT,-0.023357999999999997,NEG,2011,8,31
284,2011-09-30,MSFT,-0.064286,NEG,2011,9,30
285,2011-10-31,MSFT,0.069908,POS,2011,10,31
286,2011-11-30,MSFT,-0.03191900000000001,NEG,2011,11,30
287,2011-12-30,MSFT,0.014855,POS,2011,12,30
288,2012-01-31,MSFT,0.137519,POS,2012,1,31
289,2012-02-29,MSFT,0.081612,POS,2012,2,29
290,2012-03-30,MSFT,0.016226000000000004,POS,2012,3,30
291,2012-04-30,MSFT,-0.007440999999999999,NEG,2012,4,30
292,2012-05-31,MSFT,-0.081993,NEG,2012,5,31
293,2012-06-29,MSFT,0.047962,POS,2012,6,29
294,2012-07-31,MSFT,-0.036613,NEG,2012,7,31
295,2012-08-31,MSFT,0.05259599999999999,POS,2012,8,31
296,2012-09-28,MSFT,-0.034393,NEG,2012,9,28
297,2012-10-31,MSFT,-0.040995,NEG,2012,10,31
298,2012-11-30,MSFT,-0.05939,NEG,2012,11,30
299,2012-12-31,MSFT,0.003557999999999999,POS,2012,12,31
300,2013-01-31,MSFT,0.027717,POS,2013,1,31
301,2013-02-28,MSFT,0.021128999999999995,POS,2013,2,28
302,2013-03-28,MSFT,0.028957,POS,2013,3,28
303,2013-04-30,MSFT,0.15714,POS,2013,4,30
304,2013-05-31,MSFT,0.061329,POS,2013,5,31
305,2013-06-28,MSFT,-0.010172,NEG,2013,6,28
306,2013-07-31,MSFT,-0.07830399999999998,NEG,2013,7,31
307,2013-08-30,MSFT,0.056219000000000005,POS,2013,8,30
308,2013-09-30,MSFT,-0.0035929999999999994,NEG,2013,9,30
309,2013-10-31,MSFT,0.06385200000000002,POS,2013,10,31
310,2013-11-29,MSFT,0.084875,POS,2013,11,29
311,2013-12-31,MSFT,-0.018883000000000004,NEG,2013,12,31
312,2001-01-31,WMT,0.069176,POS,2001,1,31
313,2001-02-28,WMT,-0.11813400000000002,NEG,2001,2,28
314,2001-03-30,WMT,0.009582999999999998,POS,2001,3,30
315,2001-04-30,WMT,0.024554,POS,2001,4,30
316,2001-05-31,WMT,0.000193,POS,2001,5,31
317,2001-06-29,WMT,-0.055652,NEG,2001,6,29
318,2001-07-31,WMT,0.145492,POS,2001,7,31
319,2001-08-31,WMT,-0.140429,NEG,2001,8,31
320,2001-09-28,WMT,0.03163400000000001,POS,2001,9,28
321,2001-10-31,WMT,0.03838400000000001,POS,2001,10,31
322,2001-11-30,WMT,0.07295699999999998,POS,2001,11,30
323,2001-12-31,WMT,0.044787,POS,2001,12,31
324,2002-01-31,WMT,0.042224,POS,2002,1,31
325,2002-02-28,WMT,0.033845,POS,2002,2,28
326,2002-03-28,WMT,-0.01024,NEG,2002,3,28
327,2002-04-30,WMT,-0.08874400000000002,NEG,2002,4,30
328,2002-05-31,WMT,-0.031507,NEG,2002,5,31
329,2002-06-28,WMT,0.018207,POS,2002,6,28
330,2002-07-31,WMT,-0.10598100000000002,NEG,2002,7,31
331,2002-08-30,WMT,0.087434,POS,2002,8,30
332,2002-09-30,WMT,-0.07788,NEG,2002,9,30
333,2002-10-31,WMT,0.08753,POS,2002,10,31
334,2002-11-29,WMT,0.006536,POS,2002,11,29
335,2002-12-31,WMT,-0.06150299999999998,NEG,2002,12,31
336,2003-01-31,WMT,-0.05365299999999999,NEG,2003,1,31
337,2003-02-28,WMT,0.005439,POS,2003,2,28
338,2003-03-31,WMT,0.084478,POS,2003,3,31
339,2003-04-30,WMT,0.08245199999999998,POS,2003,4,30
340,2003-05-30,WMT,-0.065874,NEG,2003,5,30
341,2003-06-30,WMT,0.021859000000000003,POS,2003,6,30
342,2003-07-31,WMT,0.041737,POS,2003,7,31
343,2003-08-29,WMT,0.058308,POS,2003,8,29
344,2003-09-30,WMT,-0.05611,NEG,2003,9,30
345,2003-10-31,WMT,0.057117,POS,2003,10,31
346,2003-11-28,WMT,-0.05614899999999999,NEG,2003,11,28
347,2003-12-31,WMT,-0.04493200000000001,NEG,2003,12,31
348,2004-01-30,WMT,0.01508,POS,2004,1,30
349,2004-02-27,WMT,0.106035,POS,2004,2,27
350,2004-03-31,WMT,0.004365000000000001,POS,2004,3,31
351,2004-04-30,WMT,-0.045065999999999995,NEG,2004,4,30
352,2004-05-28,WMT,-0.02,NEG,2004,5,28
353,2004-06-30,WMT,-0.05329299999999999,NEG,2004,6,30
354,2004-07-30,WMT,0.004738,POS,2004,7,30
355,2004-08-31,WMT,-0.003962,NEG,2004,8,31
356,2004-09-30,WMT,0.010063000000000002,POS,2004,9,30
357,2004-10-29,WMT,0.013533999999999997,POS,2004,10,29
358,2004-11-30,WMT,-0.034495,NEG,2004,11,30
359,2004-12-31,WMT,0.017096,POS,2004,12,31
360,2005-01-31,WMT,-0.007950999999999998,NEG,2005,1,31
361,2005-02-28,WMT,-0.015076,NEG,2005,2,28
362,2005-03-31,WMT,-0.026158,NEG,2005,3,31
363,2005-04-29,WMT,-0.05926999999999998,NEG,2005,4,29
364,2005-05-31,WMT,0.005091,POS,2005,5,31
365,2005-06-30,WMT,0.020537999999999997,POS,2005,6,30
366,2005-07-29,WMT,0.023859000000000005,POS,2005,7,29
367,2005-08-31,WMT,-0.085917,NEG,2005,8,31
368,2005-09-30,WMT,-0.025356,NEG,2005,9,30
369,2005-10-31,WMT,0.079644,POS,2005,10,31
370,2005-11-30,WMT,0.026421,POS,2005,11,30
371,2005-12-30,WMT,-0.03315499999999999,NEG,2005,12,30
372,2006-01-31,WMT,-0.014744000000000004,NEG,2006,1,31
373,2006-02-28,WMT,-0.016265,NEG,2006,2,28
374,2006-03-31,WMT,0.045139,POS,2006,3,31
375,2006-04-28,WMT,-0.04678199999999999,NEG,2006,4,28
376,2006-05-31,WMT,0.079669,POS,2006,5,31
377,2006-06-30,WMT,-0.005779,NEG,2006,6,30
378,2006-07-31,WMT,-0.07618800000000002,NEG,2006,7,31
379,2006-08-31,WMT,0.008708,POS,2006,8,31
380,2006-09-29,WMT,0.10286199999999998,POS,2006,9,29
381,2006-10-31,WMT,-0.000811,NEG,2006,10,31
382,2006-11-30,WMT,-0.06452900000000002,NEG,2006,11,30
383,2006-12-29,WMT,0.005369,POS,2006,12,29
384,2007-01-31,WMT,0.032698,POS,2007,1,31
385,2007-02-28,WMT,0.013001000000000002,POS,2007,2,28
386,2007-03-30,WMT,-0.023598,NEG,2007,3,30
387,2007-04-30,WMT,0.020659999999999994,POS,2007,4,30
388,2007-05-31,WMT,-0.002087,NEG,2007,5,31
389,2007-06-29,WMT,0.010713999999999998,POS,2007,6,29
390,2007-07-31,WMT,-0.044897,NEG,2007,7,31
391,2007-08-31,WMT,-0.045702,NEG,2007,8,31
392,2007-09-28,WMT,0.000458,POS,2007,9,28
393,2007-10-31,WMT,0.03573900000000001,POS,2007,10,31
394,2007-11-30,WMT,0.05949999999999998,POS,2007,11,30
395,2007-12-31,WMT,-0.0031320000000000007,NEG,2007,12,31
396,2008-01-31,WMT,0.067536,POS,2008,1,31
397,2008-02-29,WMT,-0.022665000000000005,NEG,2008,2,29
398,2008-03-31,WMT,0.06710000000000002,POS,2008,3,31
399,2008-04-30,WMT,0.10060699999999997,POS,2008,4,30
400,2008-05-30,WMT,-4.2999999999999995e-05,NEG,2008,5,30
401,2008-06-30,WMT,-0.026671,NEG,2008,6,30
402,2008-07-31,WMT,0.04306,POS,2008,7,31
403,2008-08-29,WMT,0.011728000000000002,POS,2008,8,29
404,2008-09-30,WMT,0.013881999999999999,POS,2008,9,30
405,2008-10-31,WMT,-0.068125,NEG,2008,10,31
406,2008-11-28,WMT,0.001254,POS,2008,11,28
407,2008-12-31,WMT,0.007471000000000002,POS,2008,12,31
408,2009-01-30,WMT,-0.15947200000000003,NEG,2009,1,30
409,2009-02-27,WMT,0.04499200000000001,POS,2009,2,27
410,2009-03-31,WMT,0.06361700000000002,POS,2009,3,31
411,2009-04-30,WMT,-0.03262999999999999,NEG,2009,4,30
412,2009-05-29,WMT,-0.007688000000000001,NEG,2009,5,29
413,2009-06-30,WMT,-0.026136000000000003,NEG,2009,6,30
414,2009-07-31,WMT,0.02972799999999999,POS,2009,7,31
415,2009-08-31,WMT,0.025311000000000004,POS,2009,8,31
416,2009-09-30,WMT,-0.034990999999999994,NEG,2009,9,30
417,2009-10-30,WMT,0.012019,POS,2009,10,30
418,2009-11-30,WMT,0.098027,POS,2009,11,30
419,2009-12-31,WMT,-0.01517,NEG,2009,12,31
420,2010-01-29,WMT,-0.00037399999999999993,NEG,2010,1,29
421,2010-02-26,WMT,0.011978000000000003,POS,2010,2,26
422,2010-03-31,WMT,0.03389099999999999,POS,2010,3,31
423,2010-04-30,WMT,-0.035252,NEG,2010,4,30
424,2010-05-28,WMT,-0.05178000000000001,NEG,2010,5,28
425,2010-06-30,WMT,-0.049248,NEG,2010,6,30
426,2010-07-30,WMT,0.064905,POS,2010,7,30
427,2010-08-31,WMT,-0.014602,NEG,2010,8,31
428,2010-09-30,WMT,0.067411,POS,2010,9,30
429,2010-10-29,WMT,0.012145000000000001,POS,2010,10,29
430,2010-11-30,WMT,-0.001477,NEG,2010,11,30
431,2010-12-31,WMT,0.002635,POS,2010,12,31
432,2011-01-31,WMT,0.039680999999999994,POS,2011,1,31
433,2011-02-28,WMT,-0.07294499999999998,NEG,2011,2,28
434,2011-03-31,WMT,0.008369,POS,2011,3,31
435,2011-04-29,WMT,0.05629200000000001,POS,2011,4,29
436,2011-05-31,WMT,0.011004,POS,2011,5,31
437,2011-06-30,WMT,-0.037668,NEG,2011,6,30
438,2011-07-29,WMT,-0.008092,NEG,2011,7,29
439,2011-08-31,WMT,0.016031,POS,2011,8,31
440,2011-09-30,WMT,-0.024253,NEG,2011,9,30
441,2011-10-31,WMT,0.09287099999999998,POS,2011,10,31
442,2011-11-30,WMT,0.038434,POS,2011,11,30
443,2011-12-30,WMT,0.020798,POS,2011,12,30
444,2012-01-31,WMT,0.026773999999999996,POS,2012,1,31
445,2012-02-29,WMT,-0.037158,NEG,2012,2,29
446,2012-03-30,WMT,0.042612,POS,2012,3,30
447,2012-04-30,WMT,-0.037418,NEG,2012,4,30
448,2012-05-31,WMT,0.124045,POS,2012,5,31
449,2012-06-29,WMT,0.059252999999999986,POS,2012,6,29
450,2012-07-31,WMT,0.067556,POS,2012,7,31
451,2012-08-31,WMT,-0.019246,NEG,2012,8,31
